# BlazingVoice3 医学辞書プリセット
# 出典: DMiME医学用語辞書 v1.1 + 皮膚科カスタム
# 形式: 読み/誤認識,正式表記,有効
# --- 皮膚科カスタム ---
アトピー,アトピー性皮膚炎,true
じんましん,蕁麻疹,true
しっしん,湿疹,true
ヘルペス,単純ヘルペス,true
たいじょうほうしん,帯状疱疹,true
かんせん,乾癬,true
だつもう,脱毛症,true
ステロイド,ステロイド外用薬,true
ほしつ,保湿剤,true
めんえき,免疫抑制剤,true
にきび,尋常性痤瘡,true
みずむし,足白癬,true
いぼ,尋常性疣贅,true
やけど,熱傷,true
ひやけ,日光皮膚炎,true
あざ,色素性母斑,true
ほくろ,色素性母斑,true
とびひ,伝染性膿痂疹,true
たむし,体部白癬,true
かぶれ,接触皮膚炎,true
# --- DMiME医学用語辞書 (42212件) ---
1+1/2しょうこうぐん,1＋1/2症候群,true
12ゆうどうしんでんず,12誘導心電図,true
13とりそみー,13トリソミー,true
13べーたでぃーぐるかん,（1→3）-β-D-グルカン,true
18じょうせんしょくたいいじょう,18常染色体異常,true
18とりそみー,18トリソミー,true
1がたとうにょうびょう,1型糖尿病,true
1がたとうにょうびょうおうはんしょう,1型糖尿病黄斑症,true
1がたとうにょうびょうがっぺいにんしん,1型糖尿病合併妊娠,true
1がたとうにょうびょうせいあしどーしす,1型糖尿病性アシドーシス,true
1がたとうにょうびょうせいあせとんけっしょう,1型糖尿病性アセトン血症,true
1がたとうにょうびょうせいいちょうしょう,1型糖尿病性胃腸症,true
1がたとうにょうびょうせいえそ,1型糖尿病性壊疽,true
1がたとうにょうびょうせいおうはんふしゅ,1型糖尿病性黄斑浮腫,true
1がたとうにょうびょうせいかいよう,1型糖尿病性潰瘍,true
1がたとうにょうびょうせいがんきんまひ,1型糖尿病性眼筋麻痺,true
1がたとうにょうびょうせいかんしょうがい,1型糖尿病性肝障害,true
1がたとうにょうびょうせいかんせつしょう,1型糖尿病性関節症,true
1がたとうにょうびょうせいきんいしゅくしょう,1型糖尿病性筋萎縮症,true
1がたとうにょうびょうせいけっかんしょうがい,1型糖尿病性血管障害,true
1がたとうにょうびょうせいけとあしどーしす,1型糖尿病性ケトアシドーシス,true
1がたとうにょうびょうせいこうこれすてろーるけっしょう,1型糖尿病性高コレステロール血症,true
1がたとうにょうびょうせいこうさいえん,1型糖尿病性虹彩炎,true
1がたとうにょうびょうせいこつしょう,1型糖尿病性骨症,true
1がたとうにょうびょうせいこんすい,1型糖尿病性昏睡,true
1がたとうにょうびょうせいじりつしんけいにゅーろぱちー,1型糖尿病性自律神経ニューロパチー,true
1がたとうにょうびょうせいしんけいいんせいぼうこう,1型糖尿病性神経因性膀胱,true
1がたとうにょうびょうせいしんけいつう,1型糖尿病性神経痛,true
1がたとうにょうびょうせいじんこうかしょう,1型糖尿病性腎硬化症,true
1がたとうにょうびょうせいじんしょう,1型糖尿病性腎症,true
1がたとうにょうびょうせいじんふぜん,1型糖尿病性腎不全,true
1がたとうにょうびょうせいすいほう,1型糖尿病性水疱,true
1がたとうにょうびょうせいせいしんしょうがい,1型糖尿病性精神障害,true
1がたとうにょうびょうせいそうようしょう,1型糖尿病性そう痒症,true
1がたとうにょうびょうせいたはつにゅーろぱちー,1型糖尿病性多発ニューロパチー,true
1がたとうにょうびょうせいたんにゅーろぱちー,1型糖尿病性単ニューロパチー,true
1がたとうにょうびょうせいちゅうしんせいもうまくしょ,1型糖尿病性中心性網膜症,true
1がたとうにょうびょうせいていけっとうせいこんすい,1型糖尿病性低血糖性昏睡,true
1がたとうにょうびょうせいどうみゃくこうかしょう,1型糖尿病性動脈硬化症,true
1がたとうにょうびょうせいどうみゃくへいそくしょう,1型糖尿病性動脈閉塞症,true
1がたとうにょうびょうせいにゅーろぱちー,1型糖尿病性ニューロパチー,true
1がたとうにょうびょうせいはくないしょう,1型糖尿病性白内障,true
1がたとうにょうびょうせいひふしょうがい,1型糖尿病性皮膚障害,true
1がたとうにょうびょうせいふしゅせいこうかしょう,1型糖尿病性浮腫性硬化症,true
1がたとうにょうびょうせいまっしょうけっかんしょう,1型糖尿病性末梢血管症,true
1がたとうにょうびょうせいまっしょうけっかんしょうがい,1型糖尿病性末梢血管障害,true
1がたとうにょうびょうせいまっしょうしんけいしょうがい,1型糖尿病性末梢神経障害,true
1がたとうにょうびょうせいもうまくしょう,1型糖尿病性網膜症,true
1がたにょうさいかんせいあしどーしす,1型尿細管性アシドーシス,true
1ぐんはんせんびょう,I群ハンセン病,true
1どねっしょう,1度熱傷,true
1びょうりつていか,1秒率低下,true
1びょうりょうていか,1秒量低下,true
2がたそうきょくせいしょうがい,2型双極性障害,true
2がたとうにょうびょう,2型糖尿病,true
2がたとうにょうびょうおうはんしょう,2型糖尿病黄斑症,true
2がたとうにょうびょうがっぺいにんしん,2型糖尿病合併妊娠,true
2がたとうにょうびょうせいあしどーしす,2型糖尿病性アシドーシス,true
2がたとうにょうびょうせいあせとんけっしょう,2型糖尿病性アセトン血症,true
2がたとうにょうびょうせいいちょうしょう,2型糖尿病性胃腸症,true
2がたとうにょうびょうせいえそ,2型糖尿病性壊疽,true
2がたとうにょうびょうせいおうはんふしゅ,2型糖尿病性黄斑浮腫,true
2がたとうにょうびょうせいかいよう,2型糖尿病性潰瘍,true
2がたとうにょうびょうせいがんきんまひ,2型糖尿病性眼筋麻痺,true
2がたとうにょうびょうせいかんしょうがい,2型糖尿病性肝障害,true
2がたとうにょうびょうせいかんせつしょう,2型糖尿病性関節症,true
2がたとうにょうびょうせいきんいしゅくしょう,2型糖尿病性筋萎縮症,true
2がたとうにょうびょうせいけっかんしょうがい,2型糖尿病性血管障害,true
2がたとうにょうびょうせいけとあしどーしす,2型糖尿病性ケトアシドーシス,true
2がたとうにょうびょうせいこうこれすてろーるけっしょう,2型糖尿病性高コレステロール血症,true
2がたとうにょうびょうせいこうさいえん,2型糖尿病性虹彩炎,true
2がたとうにょうびょうせいこつしょう,2型糖尿病性骨症,true
2がたとうにょうびょうせいこんすい,2型糖尿病性昏睡,true
2がたとうにょうびょうせいじりつしんけいにゅーろぱちー,2型糖尿病性自律神経ニューロパチー,true
2がたとうにょうびょうせいしんけいいんせいぼうこう,2型糖尿病性神経因性膀胱,true
2がたとうにょうびょうせいしんけいつう,2型糖尿病性神経痛,true
2がたとうにょうびょうせいじんこうかしょう,2型糖尿病性腎硬化症,true
2がたとうにょうびょうせいじんしょう,2型糖尿病性腎症,true
2がたとうにょうびょうせいじんふぜん,2型糖尿病性腎不全,true
2がたとうにょうびょうせいすいほう,2型糖尿病性水疱,true
2がたとうにょうびょうせいせいしんしょうがい,2型糖尿病性精神障害,true
2がたとうにょうびょうせいそうようしょう,2型糖尿病性そう痒症,true
2がたとうにょうびょうせいたはつにゅーろぱちー,2型糖尿病性多発ニューロパチー,true
2がたとうにょうびょうせいたんにゅーろぱちー,2型糖尿病性単ニューロパチー,true
2がたとうにょうびょうせいちゅうしんせいもうまくしょう,2型糖尿病性中心性網膜症,true
2がたとうにょうびょうせいていけっとうせいこんすい,2型糖尿病性低血糖性昏睡,true
2がたとうにょうびょうせいどうみゃくこうかしょう,2型糖尿病性動脈硬化症,true
2がたとうにょうびょうせいどうみゃくへいそくしょう,2型糖尿病性動脈閉塞症,true
2がたとうにょうびょうせいにゅーろぱちー,2型糖尿病性ニューロパチー,true
2がたとうにょうびょうせいはくないしょう,2型糖尿病性白内障,true
2がたとうにょうびょうせいひふしょうがい,2型糖尿病性皮膚障害,true
2がたとうにょうびょうせいふしゅせいこうかしょう,2型糖尿病性浮腫性硬化症,true
2がたとうにょうびょうせいまっしょうけっかんしょう,2型糖尿病性末梢血管症,true
2がたとうにょうびょうせいまっしょうけっかんしょうがい,2型糖尿病性末梢血管障害,true
2がたとうにょうびょうせいまっしょうしんけいしょうがい,2型糖尿病性末梢神経障害,true
2がたとうにょうびょうせいみおぱちー,2型糖尿病性ミオパチー,true
2がたとうにょうびょうせいもうまくしょう,2型糖尿病性網膜症,true
